# s t p1 p2 p3 q1 q2 q3 r
3 3 0.333333 0.333333 0.333333 0.333333 0.333333 0.333333 0.500000
3 6 0.400000 0.400000 0.200000 0.400000 0.400000 0.200000 0.625000
3 9 0.361111 0.333333 0.305556 0.333333 0.361111 0.305556 0.771727
3 12 0.367392 0.328094 0.304515 0.328094 0.367392 0.304515 0.837165
3 15 0.348748 0.328605 0.322647 0.328605 0.348748 0.322647 0.896572
3 18 0.347160 0.328258 0.324581 0.328258 0.347160 0.324581 0.928244
3 21 0.340622 0.330285 0.329093 0.330285 0.340622 0.329093 0.953479
3 24 0.339081 0.330780 0.330139 0.330780 0.339081 0.330139 0.968268
3 27 0.336677 0.331781 0.331542 0.331781 0.336677 0.331542 0.979182
3 30 0.335787 0.332166 0.332047 0.332166 0.335787 0.332047 0.985941
3 33 0.334847 0.332600 0.332553 0.332600 0.334847 0.332553 0.990713
3 36 0.334399 0.332812 0.332789 0.332812 0.334399 0.332789 0.993763
3 39 0.334014 0.332998 0.332988 0.332998 0.334014 0.332988 0.995864
3 42 0.333801 0.333102 0.333097 0.333102 0.333801 0.333097 0.997231
3 45 0.333638 0.333182 0.333180 0.333182 0.333638 0.333180 0.998160
3 48 0.333540 0.333230 0.333230 0.333230 0.333540 0.333230 0.998770
3 51 0.333469 0.333266 0.333265 0.333266 0.333469 0.333265 0.999182
3 54 0.333425 0.333288 0.333288 0.333288 0.333425 0.333288 0.999454
3 57 0.333394 0.333303 0.333303 0.333303 0.333394 0.333303 0.999636
3 60 0.333374 0.333313 0.333313 0.333313 0.333374 0.333313 0.999757
3 63 0.333360 0.333320 0.333320 0.333320 0.333360 0.333320 0.999838
3 66 0.333351 0.333324 0.333324 0.333324 0.333351 0.333324 0.999892
3 69 0.333345 0.333327 0.333327 0.333327 0.333345 0.333327 0.999928
3 72 0.333341 0.333329 0.333329 0.333329 0.333341 0.333329 0.999952
3 75 0.333339 0.333331 0.333331 0.333331 0.333339 0.333331 0.999968
3 78 0.333337 0.333332 0.333332 0.333332 0.333337 0.333332 0.999979
3 81 0.333336 0.333332 0.333332 0.333332 0.333336 0.333332 0.999986
3 84 0.333335 0.333333 0.333333 0.333333 0.333335 0.333333 0.999991
3 87 0.333334 0.333333 0.333333 0.333333 0.333334 0.333333 0.999994
